City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description,Rain(Inches),Snow (inches)
139,Tasiilaq,GL,2020-06-22 01:03:05,65.61,-37.64,48.2,76,90,5.82,overcast clouds,0.0,0.0
140,Poum,NC,2020-06-22 01:05:30,-20.23,164.02,73.0,71,24,8.46,few clouds,0.0,0.0
141,Barrow,US,2020-06-22 01:04:02,71.29,-156.79,37.4,86,90,14.99,overcast clouds,0.0,0.0
142,Saint George,US,2020-06-22 01:05:32,37.1,-113.58,100.4,8,1,16.11,clear sky,0.0,0.0
143,Moyale,KE,2020-06-22 01:05:33,3.52,39.06,65.75,83,100,10.47,overcast clouds,0.0,0.0
144,Brae,GB,2020-06-22 01:05:33,60.4,-1.35,53.6,93,70,11.41,broken clouds,0.0,0.0
145,Ngunguru,NZ,2020-06-22 01:05:34,-35.62,174.5,63.0,87,47,10.0,scattered clouds,0.0,0.0
146,Almaty,KZ,2020-06-22 01:02:20,43.25,76.95,59.0,58,24,1.48,few clouds,0.0,0.0
147,Yataity Del Norte,PY,2020-06-22 01:05:35,-24.83,-56.35,70.12,67,0,5.48,clear sky,0.0,0.0
148,Kirensk,RU,2020-06-22 01:05:35,57.79,108.11,73.51,48,0,7.14,clear sky,0.0,0.0
149,Ayan,RU,2020-06-22 01:05:36,56.45,138.17,42.55,97,100,6.15,light rain,0.14,0.0
150,Olinda,BR,2020-06-22 01:05:36,-8.01,-34.86,78.8,69,20,9.17,few clouds,0.0,0.0
151,Winton,US,2020-06-22 01:05:37,37.39,-120.61,98.6,23,5,14.99,clear sky,0.0,0.0
152,Barcelona,ES,2020-06-22 01:01:13,41.39,2.16,73.0,88,20,4.7,few clouds,0.0,0.0
153,Pontianak,ID,2020-06-22 01:05:38,-0.03,109.33,78.82,86,46,3.98,scattered clouds,0.0,0.0
154,Port Shepstone,ZA,2020-06-22 01:05:38,-30.74,30.45,63.32,69,0,5.95,clear sky,0.0,0.0
155,Sehithwa,BW,2020-06-22 01:05:39,-20.47,22.72,51.12,46,0,4.68,clear sky,0.0,0.0
156,Provideniya,RU,2020-06-22 01:05:39,64.38,-173.3,57.2,54,25,11.18,scattered clouds,0.0,0.0
157,Mineros,BO,2020-06-22 01:05:39,-17.12,-63.23,75.2,94,75,13.87,light rain,0.0,0.0
158,Tupik,RU,2020-06-22 01:05:40,54.43,119.93,61.75,60,28,4.27,scattered clouds,0.0,0.0
159,Santa Maria,BR,2020-06-22 01:05:40,-29.68,-53.81,77.0,65,40,4.7,scattered clouds,0.0,0.0
160,Gelemso,ET,2020-06-22 01:05:40,8.82,40.52,63.09,77,77,5.7,light rain,0.6,0.0
161,Itacarambi,BR,2020-06-22 01:05:41,-15.1,-44.09,66.34,60,0,4.32,clear sky,0.0,0.0
162,Senica,SK,2020-06-22 01:05:41,48.68,17.37,62.6,82,25,10.29,scattered clouds,0.0,0.0
163,Cavalcante,BR,2020-06-22 01:05:42,-13.8,-47.46,64.4,58,25,6.2,scattered clouds,0.0,0.0
164,Tura,IN,2020-06-22 01:05:42,25.52,90.22,78.17,86,2,4.94,clear sky,0.0,0.0
165,Auki,SB,2020-06-22 01:05:43,-8.77,160.7,85.46,67,22,1.81,light rain,0.61,0.0
166,Jerusalem,IL,2020-06-22 01:05:44,31.77,35.22,80.01,28,0,8.99,clear sky,0.0,0.0
167,Grand Gaube,MU,2020-06-22 01:04:47,-20.01,57.66,69.01,84,15,1.99,light rain,0.25,0.0
168,Narsaq,GL,2020-06-22 01:05:44,60.92,-46.05,53.6,54,100,6.93,overcast clouds,0.0,0.0
169,Nanortalik,GL,2020-06-22 01:05:45,60.14,-45.24,45.73,72,100,6.6,overcast clouds,0.0,0.0
170,Broome,US,2020-06-22 01:05:45,42.25,-75.83,75.99,2,0,3.6,clear sky,0.0,0.0
171,Leua,SK,2020-06-22 01:05:46,48.22,18.61,64.0,94,96,9.17,overcast clouds,0.0,0.0
172,Kalmunai,LK,2020-06-22 01:05:46,7.42,81.82,81.73,71,100,5.97,overcast clouds,0.0,0.0
173,Castro,BR,2020-06-22 01:05:47,-24.79,-50.01,57.65,83,0,2.73,clear sky,0.0,0.0
174,Gat,IL,2020-06-22 01:05:47,31.61,34.76,82.0,60,0,6.96,clear sky,0.0,0.0
175,Misratah,LY,2020-06-22 01:05:48,32.38,15.09,70.97,72,0,14.74,clear sky,0.0,0.0
176,Dudinka,RU,2020-06-22 01:05:49,69.41,86.18,59.0,47,75,20.13,broken clouds,0.0,0.0
177,Constantine,DZ,2020-06-22 01:05:49,36.37,6.61,60.8,63,0,2.39,clear sky,0.0,0.0
178,Maniitsoq,GL,2020-06-22 01:05:50,65.42,-52.9,46.74,63,100,8.88,overcast clouds,0.0,0.0
179,Walvis Bay,NA,2020-06-22 01:05:50,-22.96,14.51,55.99,66,8,3.36,clear sky,0.0,0.0
180,Jardim,BR,2020-06-22 01:05:51,-21.48,-56.14,70.07,63,0,4.0,clear sky,0.0,0.0
181,Bathsheba,BB,2020-06-22 01:04:57,13.22,-59.52,82.4,83,40,21.92,haze,0.0,0.0
182,Hermanus,ZA,2020-06-22 01:05:51,-34.42,19.23,55.99,91,100,3.0,overcast clouds,0.0,0.0
183,Westport,US,2020-06-22 01:05:35,41.14,-73.36,75.99,75,100,8.59,overcast clouds,0.0,0.0
184,Wakkanai,JP,2020-06-22 01:05:53,45.41,141.67,55.4,93,75,11.41,light intensity shower rain,0.0,0.0
185,Liverpool,GB,2020-06-22 01:03:42,53.41,-2.98,55.99,76,46,6.93,scattered clouds,0.0,0.0
186,Teguldet,RU,2020-06-22 01:05:53,57.31,88.17,58.12,65,91,3.47,overcast clouds,0.0,0.0
187,Noumea,NC,2020-06-22 01:05:54,-22.28,166.46,77.0,44,0,3.36,clear sky,0.0,0.0
188,Shingu,JP,2020-06-22 01:05:54,33.73,135.98,77.0,61,40,3.36,scattered clouds,0.0,0.0
189,Amahai,ID,2020-06-22 01:05:54,-3.33,128.92,80.01,98,67,1.99,light rain,0.5,0.0
190,Pochutla,MX,2020-06-22 01:05:55,15.74,-96.47,86.0,69,100,1.01,light rain,0.14,0.0
191,Dhidhdhoo,MV,2020-06-22 01:05:55,6.88,73.1,83.68,73,100,12.62,overcast clouds,0.0,0.0
192,Moree,AU,2020-06-22 01:05:56,-29.47,149.85,51.8,71,0,11.41,clear sky,0.0,0.0
193,Bambous Virieux,MU,2020-06-22 01:05:56,-20.34,57.76,69.8,83,40,9.17,scattered clouds,0.0,0.0
194,Thompson,CA,2020-06-22 01:05:57,55.74,-97.86,60.8,82,75,5.82,broken clouds,0.0,0.0
195,Samarai,PG,2020-06-22 01:05:58,-10.62,150.67,80.49,84,38,11.25,scattered clouds,0.0,0.0
196,Saldanha,ZA,2020-06-22 01:04:31,-33.01,17.94,50.0,93,100,1.12,overcast clouds,0.0,0.0
197,Sekoma,BW,2020-06-22 01:05:59,-24.4,23.88,48.13,50,0,5.88,clear sky,0.0,0.0
198,Puerto Rico,AR,2020-06-22 01:05:59,-26.8,-55.02,65.91,78,0,2.8,clear sky,0.0,0.0
199,Ambunti,PG,2020-06-22 01:06:00,-4.24,142.84,82.24,89,97,0.74,moderate rain,1.17,0.0
200,Labuhan,ID,2020-06-22 01:03:51,-6.88,112.21,78.35,85,100,5.79,overcast clouds,0.0,0.0
201,Paraiso,CR,2020-06-22 01:06:01,9.84,-83.87,71.6,78,75,5.82,broken clouds,0.0,0.0
202,Hohhot,CN,2020-06-22 01:06:02,40.81,111.65,66.2,72,40,4.47,light rain,0.0,0.0
203,Evensk,RU,2020-06-22 01:06:02,61.95,159.23,70.05,45,100,3.69,overcast clouds,0.0,0.0
204,Pevek,RU,2020-06-22 01:06:03,69.7,170.31,46.17,80,100,5.61,light rain,0.76,0.0
205,Marawi,PH,2020-06-22 01:06:04,8.0,124.29,84.0,75,22,4.0,few clouds,0.0,0.0
206,Oksfjord,NO,2020-06-22 01:06:04,70.24,22.35,54.0,54,0,3.36,clear sky,0.0,0.0
207,Alofi,NU,2020-06-22 01:06:05,-19.06,-169.92,82.4,69,21,13.87,few clouds,0.0,0.0
208,Schwedt,DE,2020-06-22 01:06:05,53.06,14.28,57.99,93,17,5.86,few clouds,0.0,0.0
209,Wajima,JP,2020-06-22 01:06:06,37.4,136.9,77.0,57,75,4.7,broken clouds,0.0,0.0
210,Beroroha,MG,2020-06-22 01:06:06,-21.67,45.17,63.36,90,0,1.66,clear sky,0.0,0.0
211,Pointe-Noire,CG,2020-06-22 01:06:07,-4.78,11.86,69.8,94,75,2.24,mist,0.0,0.0
212,Sao Filipe,CV,2020-06-22 01:06:08,14.9,-24.5,76.55,82,20,9.6,few clouds,0.0,0.0
213,Meulaboh,ID,2020-06-22 01:06:08,4.14,96.13,74.3,97,100,4.72,heavy intensity rain,10.13,0.0
214,Cap Malheureux,MU,2020-06-22 01:06:09,-19.98,57.61,69.01,84,39,1.99,light rain,0.25,0.0
215,Yartsevo,RU,2020-06-22 01:06:09,55.07,32.7,55.65,81,100,7.96,overcast clouds,0.0,0.0
216,Oropesa,PE,2020-06-22 01:06:09,-13.59,-71.77,51.15,74,10,4.9,clear sky,0.0,0.0
217,Oltu,TR,2020-06-22 01:06:10,40.55,42.0,50.43,77,2,1.03,clear sky,0.0,0.0
218,Tanout,NE,2020-06-22 01:06:10,14.97,8.89,88.86,12,0,6.85,clear sky,0.0,0.0
219,Pemba,MZ,2020-06-22 01:06:10,-12.97,40.52,73.27,78,0,16.42,clear sky,0.0,0.0
220,Hammerfest,NO,2020-06-22 01:06:11,70.66,23.68,42.8,87,33,6.93,scattered clouds,0.0,0.0
221,Arlit,NE,2020-06-22 01:06:11,18.74,7.39,90.79,11,42,5.59,scattered clouds,0.0,0.0
222,Clocolan,ZA,2020-06-22 01:06:11,-28.91,27.57,34.29,85,0,2.21,clear sky,0.0,0.0
223,Uyuni,BO,2020-06-22 01:06:12,-20.46,-66.83,42.08,46,0,2.68,clear sky,0.0,0.0
224,Ixtapa,MX,2020-06-22 01:06:12,20.7,-105.2,86.0,66,20,10.29,few clouds,0.0,0.0
225,Butaritari,KI,2020-06-22 01:06:13,3.07,172.79,83.26,78,0,14.54,clear sky,0.0,0.0
226,Wagar,SD,2020-06-22 01:06:13,16.15,36.2,89.02,45,100,18.48,overcast clouds,0.0,0.0
227,Ibotirama,BR,2020-06-22 01:06:13,-12.19,-43.22,70.11,62,10,2.93,clear sky,0.0,0.0
228,Nanacamilpa,MX,2020-06-22 01:06:14,19.48,-98.55,73.4,53,90,8.05,overcast clouds,0.0,0.0
229,Goderich,CA,2020-06-22 01:06:14,43.75,-81.72,72.0,79,89,5.3,overcast clouds,0.0,0.0
230,Ahipara,NZ,2020-06-22 01:06:15,-35.17,173.17,63.48,76,59,8.7,light rain,0.11,0.0
231,Neiafu,TO,2020-06-22 01:06:15,-18.65,-173.98,82.4,83,75,9.17,broken clouds,0.0,0.0
